2023-08-07 19:20:31.308 [WARN ] [HABApp.openhab.items                ] - Item HeizungKlavier_PartySetPointTemperature is a UoM item but "unit" is not found in item metadata
2023-08-07 19:20:31.309 [WARN ] [HABApp.openhab.items                ] - Item WandThermostatFlur_SetPointTemperature is a UoM item but "unit" is not found in item metadata
2023-08-07 19:20:31.310 [WARN ] [HABApp.openhab.items                ] - Item openWeatherVorhersage_ForecastHours15_PrecipitationAmount is a UoM item but "unit" is not found in item metadata
2023-08-07 19:20:31.312 [WARN ] [HABApp.openhab.items                ] - Item SchlossWaschkueche_OperatingVoltage is a UoM item but "unit" is not found in item metadata
2023-08-07 19:20:31.312 [WARN ] [HABApp.openhab.items                ] - Item MessSteckdose_Frequency is a UoM item but "unit" is not found in item metadata
2023-08-07 19:20:31.313 [WARN ] [HABApp.openhab.items                ] - Item openWeatherVorhersage_ForecastHours21_PrecipitationAmount is a UoM item but "unit" is not found in item metadata
2023-08-07 19:20:31.314 [WARN ] [HABApp.openhab.items                ] - Item HeizungSchlafzimmer_SetPointTemperature is a UoM item but "unit" is not found in item metadata
2023-08-07 19:20:31.316 [WARN ] [HABApp.openhab.items                ] - Item gHeizungenBad_PartySetPointTemperature is a UoM item but "unit" is not found in item metadata
2023-08-07 19:20:31.317 [WARN ] [HABApp.openhab.items                ] - Item HeizungSofa_PartySetPointTemperature is a UoM item but "unit" is not found in item metadata
2023-08-07 19:20:31.317 [WARN ] [HABApp.openhab.items                ] - Item HeizungSofaSued_SetPointTemperature is a UoM item but "unit" is not found in item metadata
2023-08-07 19:20:31.319 [WARN ] [HABApp.openhab.items                ] - Item openWeatherVorhersage_Windrichtung is a UoM item but "unit" is not found in item metadata
2023-08-07 19:20:31.320 [WARN ] [HABApp.openhab.items                ] - Item openWeatherVorhersage_ForecastHours06_Temperature is a UoM item but "unit" is not found in item metadata
2023-08-07 19:20:31.320 [WARN ] [HABApp.openhab.items                ] - Item openWeatherVorhersage_Sichtweite is a UoM item but "unit" is not found in item metadata
2023-08-07 19:20:31.321 [WARN ] [HABApp.openhab.items                ] - Item BewegungsmelderErkerweg_ChargeLevel is a UoM item but "unit" is not found in item metadata
2023-08-07 19:20:31.321 [WARN ] [HABApp.openhab.items                ] - Item gHeizungenSofa_ActualTemperature is a UoM item but "unit" is not found in item metadata
2023-08-07 19:20:31.322 [WARN ] [HABApp.openhab.items                ] - Item openWeatherVorhersage_Bewoelkung is a UoM item but "unit" is not found in item metadata
2023-08-07 19:20:31.324 [WARN ] [HABApp.openhab.items                ] - Item gHeizungenEsszimmer_ActualTemperature is a UoM item but "unit" is not found in item metadata
2023-08-07 19:20:31.324 [WARN ] [HABApp.openhab.items                ] - Item openWeatherVorhersage_ForecastHours18_Temperature is a UoM item but "unit" is not found in item metadata
2023-08-07 19:20:31.326 [WARN ] [HABApp.openhab.items                ] - Item LichtSensorEinfahrt_Beleuchtungsstaerke is a UoM item but "unit" is not found in item metadata
2023-08-07 19:20:31.327 [WARN ] [HABApp.openhab.items                ] - Item HeizungSofa_SetPointTemperature is a UoM item but "unit" is not found in item metadata
2023-08-07 19:20:31.328 [WARN ] [HABApp.openhab.items                ] - Item HeizungKlavier_SetPointTemperature is a UoM item but "unit" is not found in item metadata
2023-08-07 19:20:31.329 [WARN ] [HABApp.openhab.items                ] - Item Sonnendaten_DirekteStrahlung is a UoM item but "unit" is not found in item metadata
2023-08-07 19:20:31.329 [WARN ] [HABApp.openhab.items                ] - Item openWeatherVorhersage_ForecastHours12_Temperature is a UoM item but "unit" is not found in item metadata
2023-08-07 19:20:31.331 [WARN ] [HABApp.openhab.items                ] - Item TuerSchuppen_OperatingVoltage is a UoM item but "unit" is not found in item metadata
2023-08-07 19:20:31.331 [WARN ] [HABApp.openhab.items                ] - Item WandThermostatFlur_ActualTemperature is a UoM item but "unit" is not found in item metadata
2023-08-07 19:20:31.332 [WARN ] [HABApp.openhab.items                ] - Item HeizungFinnja_PartySetPointTemperature is a UoM item but "unit" is not found in item metadata
2023-08-07 19:20:31.332 [WARN ] [HABApp.openhab.items                ] - Item HeizungMika_SetPointTemperature is a UoM item but "unit" is not found in item metadata
2023-08-07 19:20:31.333 [WARN ] [HABApp.openhab.items                ] - Item openWeatherVorhersage_ForecastHours09_Temperature is a UoM item but "unit" is not found in item metadata
2023-08-07 19:20:31.334 [WARN ] [HABApp.openhab.items                ] - Item openWeatherVorhersage_ForecastToday_Mintemperature is a UoM item but "unit" is not found in item metadata
2023-08-07 19:20:31.336 [WARN ] [HABApp.openhab.items                ] - Item WandThermostatBad_Humidity is a UoM item but "unit" is not found in item metadata
2023-08-07 19:20:31.337 [WARN ] [HABApp.openhab.items                ] - Item openWeatherVorhersage_Current_Apparenttemperature is a UoM item but "unit" is not found in item metadata
2023-08-07 19:20:31.337 [WARN ] [HABApp.openhab.items                ] - Item SchalterWohnzimmer_OperatingVoltage is a UoM item but "unit" is not found in item metadata
2023-08-07 19:20:31.337 [WARN ] [HABApp.openhab.items                ] - Item HeizungErker_ActualTemperature is a UoM item but "unit" is not found in item metadata
2023-08-07 19:20:31.338 [WARN ] [HABApp.openhab.items                ] - Item HeizungBad_PartySetPointTemperature is a UoM item but "unit" is not found in item metadata
2023-08-07 19:20:31.339 [WARN ] [HABApp.openhab.items                ] - Item MessSteckdose_Energy_Counter is a UoM item but "unit" is not found in item metadata
2023-08-07 19:20:31.340 [WARN ] [HABApp.openhab.items                ] - Item HeizungMika_ActualTemperature is a UoM item but "unit" is not found in item metadata
2023-08-07 19:20:31.340 [WARN ] [HABApp.openhab.items                ] - Item HeizungSchlafzimmer_ActualTemperature is a UoM item but "unit" is not found in item metadata
2023-08-07 19:20:31.341 [WARN ] [HABApp.openhab.items                ] - Item HeizungSofa_OperatingVoltage is a UoM item but "unit" is not found in item metadata
2023-08-07 19:20:31.341 [WARN ] [HABApp.openhab.items                ] - Item HeizungSara_ActualTemperature is a UoM item but "unit" is not found in item metadata
2023-08-07 19:20:31.341 [WARN ] [HABApp.openhab.items                ] - Item WandThermostatKueche_OperatingVoltage is a UoM item but "unit" is not found in item metadata
2023-08-07 19:20:31.343 [WARN ] [HABApp.openhab.items                ] - Item openWeatherVorhersage_ForecastHours15_Temperature is a UoM item but "unit" is not found in item metadata
2023-08-07 19:20:31.343 [WARN ] [HABApp.openhab.items                ] - Item HeizungSchlafzimmer_Operating_Voltage is a UoM item but "unit" is not found in item metadata
2023-08-07 19:20:31.343 [WARN ] [HABApp.openhab.items                ] - Item HABPanel_Battery_Temp is a UoM item but "unit" is not found in item metadata
2023-08-07 19:20:31.344 [WARN ] [HABApp.openhab.items                ] - Item openWeatherVorhersage_ForecastHours21_Temperature is a UoM item but "unit" is not found in item metadata
2023-08-07 19:20:31.344 [WARN ] [HABApp.openhab.items                ] - Item BewegungsmelderGastWC_ChargingLevel is a UoM item but "unit" is not found in item metadata
2023-08-07 19:20:31.345 [WARN ] [HABApp.openhab.items                ] - Item HeizungFinnja_OperatingVoltage is a UoM item but "unit" is not found in item metadata
2023-08-07 19:20:31.346 [WARN ] [HABApp.openhab.items                ] - Item TemperaturHeizung_RuecklaufTemperatur is a UoM item but "unit" is not found in item metadata
2023-08-07 19:20:31.347 [WARN ] [HABApp.openhab.items                ] - Item BewegungsmelderFlur_OperatingVoltage is a UoM item but "unit" is not found in item metadata
2023-08-07 19:20:31.349 [INFO ] [HABApp.openhab.items                ] - Updated 1202 Items
2023-08-07 19:20:33.170 [INFO ] [HABApp.openhab.items                ] - Updated 125 Things
2023-08-07 19:20:34.408 [INFO ] [HABApp.Rules                        ] - Added rule "ContactSwitchMapper" from rules/ContactSwitchMapping.py
2023-08-07 19:20:34.473 [INFO ] [HABApp.Rules                        ] - Added rule "AstralInfo" from rules/astral.py
2023-08-07 19:20:35.734 [INFO ] [HABApp.Rules                        ] - Added rule "DoorLockStatemachineRule" from rules/doorlock_mode.py
2023-08-07 19:20:36.104 [INFO ] [HABApp.Rules                        ] - Added rule "IkeaZigbeeDevices" from rules/ikea.py
2023-08-07 19:20:36.105 [WARN ] [HABApp.Rule                         ] - Item "zigbee2mqtt/IKEA/Lampe/Terrasse_Pergola_Rechts" does not exist (yet)! self.listen_event in "IkeaZigbeeDevices" may not work as intended.
2023-08-07 19:20:36.105 [WARN ] [HABApp.Rule                         ] - Item "zigbee2mqtt/IKEA/Lampe/Terrasse_Pergola_Alle" does not exist (yet)! self.listen_event in "IkeaZigbeeDevices" may not work as intended.
2023-08-07 19:20:36.105 [WARN ] [HABApp.Rule                         ] - Item "zigbee2mqtt/IKEA/Bewegungsmelder/Gaestezimmer" does not exist (yet)! self.listen_event in "IkeaZigbeeDevices" may not work as intended.
2023-08-07 19:20:36.106 [WARN ] [HABApp.Rule                         ] - Item "zigbee2mqtt/IKEA/Bewegungsmelder/Buero" does not exist (yet)! self.listen_event in "IkeaZigbeeDevices" may not work as intended.
2023-08-07 19:20:36.106 [WARN ] [HABApp.Rule                         ] - Item "zigbee2mqtt/IKEA/Lampe/Terrasse_Pergola_Links" does not exist (yet)! self.listen_event in "IkeaZigbeeDevices" may not work as intended.
2023-08-07 19:20:36.106 [WARN ] [HABApp.Rule                         ] - Item "zigbee2mqtt/IKEA/Lampe/Buero_Lampe" does not exist (yet)! self.listen_event in "IkeaZigbeeDevices" may not work as intended.
2023-08-07 19:20:36.106 [WARN ] [HABApp.Rule                         ] - Item "zigbee2mqtt/IKEA/Fernbedienung/Terrasse" does not exist (yet)! self.listen_event in "IkeaZigbeeDevices" may not work as intended.
2023-08-07 19:20:36.106 [WARN ] [HABApp.Rule                         ] - Item "zigbee2mqtt/IKEA/Fernbedienung/Schlafzimmer" does not exist (yet)! self.listen_event in "IkeaZigbeeDevices" may not work as intended.
2023-08-07 19:20:36.106 [WARN ] [HABApp.Rule                         ] - Item "zigbee2mqtt/IKEA/Bewegungsmelder/GastWC" does not exist (yet)! self.listen_event in "IkeaZigbeeDevices" may not work as intended.
2023-08-07 19:20:36.106 [WARN ] [HABApp.Rule                         ] - Item "zigbee2mqtt/IKEA/Bewegungsmelder/Werkstatt" does not exist (yet)! self.listen_event in "IkeaZigbeeDevices" may not work as intended.
2023-08-07 19:20:36.106 [WARN ] [HABApp.Rule                         ] - Item "zigbee2mqtt/IKEA/Bewegungsmelder/Abstellraum" does not exist (yet)! self.listen_event in "IkeaZigbeeDevices" may not work as intended.
2023-08-07 19:20:36.274 [ERROR] [HABApp.Rules                        ] - Error "No module named 'SecurityDoorWindowStatemachine'" in load:
2023-08-07 19:20:36.274 [ERROR] [HABApp.Rules                        ] - Could not load /etc/openhab/habapp/rules/mp3_player_mode.py!
2023-08-07 19:20:36.274 [ERROR] [HABApp.Rules                        ] - File "/etc/openhab/habapp/rules/mp3_player_mode.py", line 20 in mp3_player_mode.py
2023-08-07 19:20:36.274 [ERROR] [HABApp.Rules                        ] - --------------------------------------------------------------------------------
2023-08-07 19:20:36.274 [ERROR] [HABApp.Rules                        ] -      15 | log = logging.getLogger('MP3PlayerMode')
2023-08-07 19:20:36.275 [ERROR] [HABApp.Rules                        ] -      17 | OH_CONF = "/etc/openhab/"  # os.getenv('OPENHAB_CONF')
2023-08-07 19:20:36.275 [ERROR] [HABApp.Rules                        ] -      19 | sys.path.append(os.path.join(OH_CONF, "automation/lib/python/personal"))
2023-08-07 19:20:36.275 [ERROR] [HABApp.Rules                        ] - -->  20 | from SecurityDoorWindowStatemachine import SecurityDoorWindowStatemachine, get_state_machine_graph
